model,operation,feature,pixel4|gpu|float,pixel4|gpu|kernel,s10|gpu|float,s10|gpu|kernel,mi8se|gpu|float,mi8se|gpu|kernel,a03s|gpu|float,a03s|gpu|kernel,iphone7|gpu|float,iphone7|gpu|kernel,iphonexs|gpu|float,iphonexs|gpu|kernel
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 1024, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '382205952'}",1332.5696,convolution_2d_71_linked_:_relu_72,1349.418,convolution_2d_71_linked_:_relu_72,4538.8928,convolution_2d_71_linked_:_relu_72,11313.586,convolution_2d_71_linked_:_relu_72,1501.266,convolution_2d_71_linked_:_relu_72,608.75,convolution_2d_71_linked_:_relu_72
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '95551488'}",335.3472,convolution_2d_73_linked_:_relu_74,347.688,convolution_2d_73_linked_:_relu_74,1161.728,convolution_2d_73_linked_:_relu_74,3034.219,convolution_2d_73_linked_:_relu_74,393.766,convolution_2d_73_linked_:_relu_74,160.207,convolution_2d_73_linked_:_relu_74
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '1024', 'Group': '1', 'FLOPS': '382205952'}",1194.048,convolution_2d_75_linked_:_add_76_linked_:_relu_77,1102.702,convolution_2d_75_linked_:_add_76_linked_:_relu_77,4849.7024,convolution_2d_75_linked_:_add_76_linked_:_relu_77,11781.898,convolution_2d_75_linked_:_add_76_linked_:_relu_77,1729.985,convolution_2d_75_linked_:_add_76_linked_:_relu_77,610.723,convolution_2d_75_linked_:_add_76_linked_:_relu_77
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 1024, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '382205952'}",1299.5456,convolution_2d_78_linked_:_relu_79,1350.993,convolution_2d_78_linked_:_relu_79,4536.7168,convolution_2d_78_linked_:_relu_79,11324.66,convolution_2d_78_linked_:_relu_79,1501.891,convolution_2d_78_linked_:_relu_79,608.156,convolution_2d_78_linked_:_relu_79
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '95551488'}",328.192,convolution_2d_80_linked_:_relu_81,347.882,convolution_2d_80_linked_:_relu_81,1159.744,convolution_2d_80_linked_:_relu_81,3009.641,convolution_2d_80_linked_:_relu_81,393.867,convolution_2d_80_linked_:_relu_81,161.297,convolution_2d_80_linked_:_relu_81
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '1024', 'Group': '1', 'FLOPS': '382205952'}",1193.5104,convolution_2d_82_linked_:_add_83_linked_:_relu_84,1071.696,convolution_2d_82_linked_:_add_83_linked_:_relu_84,4847.3984,convolution_2d_82_linked_:_add_83_linked_:_relu_84,11798.516,convolution_2d_82_linked_:_add_83_linked_:_relu_84,1732.074,convolution_2d_82_linked_:_add_83_linked_:_relu_84,611.383,convolution_2d_82_linked_:_add_83_linked_:_relu_84
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 1024, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '382205952'}",1273.472,convolution_2d_85_linked_:_relu_86,1352.596,convolution_2d_85_linked_:_relu_86,4542.3616,convolution_2d_85_linked_:_relu_86,11325.688,convolution_2d_85_linked_:_relu_86,1509.668,convolution_2d_85_linked_:_relu_86,608.61,convolution_2d_85_linked_:_relu_86
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '95551488'}",339.2768,convolution_2d_87_linked_:_relu_88,347.003,convolution_2d_87_linked_:_relu_88,1163.5328,convolution_2d_87_linked_:_relu_88,3012.59,convolution_2d_87_linked_:_relu_88,394.91,convolution_2d_87_linked_:_relu_88,161.281,convolution_2d_87_linked_:_relu_88
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '1024', 'Group': '1', 'FLOPS': '382205952'}",1197.76,convolution_2d_89_linked_:_add_90_linked_:_relu_91,1071.109,convolution_2d_89_linked_:_add_90_linked_:_relu_91,4851.264,convolution_2d_89_linked_:_add_90_linked_:_relu_91,11805.195,convolution_2d_89_linked_:_add_90_linked_:_relu_91,1731.055,convolution_2d_89_linked_:_add_90_linked_:_relu_91,613.172,convolution_2d_89_linked_:_add_90_linked_:_relu_91
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 1024, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '382205952'}",1285.5168,convolution_2d_92_linked_:_relu_93,1355.63,convolution_2d_92_linked_:_relu_93,4533.3248,convolution_2d_92_linked_:_relu_93,11291.715,convolution_2d_92_linked_:_relu_93,1503.18,convolution_2d_92_linked_:_relu_93,610.289,convolution_2d_92_linked_:_relu_93
